Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
31-08-2021 05:40,42.35,7347.75,6235.17698,451.77302,-641.54,ACTUAL
31-08-2021 05:45,46.20671,7310.94,6236.00057,447.10943,-612.39,ACTUAL
31-08-2021 05:50,61,7462.29,6385.94521,444.06479,-616.45,ACTUAL
31-08-2021 05:55,64.39671,7492.96,6513.65054,444.05946,-522.74,ACTUAL
31-08-2021 06:00,66.03,7644.78,6601.04363,442.29637,-588.15,ACTUAL
31-08-2021 06:05,55.00015,7703.97,6671.92424,434.85576,-584.02,ACTUAL
31-08-2021 06:10,61,7900.66,6923.75313,434.27687,-526.37,ACTUAL
31-08-2021 06:15,61,7973.31,6993.51768,433.95232,-533.33,ACTUAL
31-08-2021 06:20,64.32411,8079.27,7139.01812,428.85188,-499.51,ACTUAL
31-08-2021 06:25,68,8032.77,7201.93272,425.17728,-394.43,ACTUAL
31-08-2021 06:30,109.51,8238.65,7512.18028,431.01972,-288.02,ACTUAL
31-08-2021 06:35,68,8254.77,7369.66268,440.95732,-436.99,ACTUAL
31-08-2021 06:40,109.51,8320.46,7518.02441,459.41559,-337.93,ACTUAL
31-08-2021 06:45,77.8299,8410.59,7425.063,482.177,-496.05,ACTUAL
31-08-2021 06:50,78.78004,8351.59,7441.53362,517.92638,-387.68,ACTUAL
31-08-2021 06:55,75,8436.01,7515.24234,546.87766,-368.58,ACTUAL
31-08-2021 07:00,61,8481.64,7507.79949,586.77051,-379.4,ACTUAL
31-08-2021 07:05,61,8513,7623.55405,625.54595,-257.36,ACTUAL
31-08-2021 07:10,61,8519.89,7466.6728,661.6072,-382.02,ACTUAL
31-08-2021 07:15,61,8519.49,7495.99928,729.09072,-290.16,ACTUAL
31-08-2021 07:20,61,8549.04,7392.72304,819.47696,-334.15,ACTUAL
31-08-2021 07:25,61,8529.77,7431.86929,908.43071,-187.64,ACTUAL
31-08-2021 07:30,58.74949,8552.64,7218.00259,988.09741,-343.15,ACTUAL
31-08-2021 07:35,61,8563.67,7462.80988,1032.42012,-64.79,ACTUAL
31-08-2021 07:40,61,8540.01,7427.1391,1099.9509,-7.17,ACTUAL
31-08-2021 07:45,61,8604.27,7423.74035,1162.02965,-17.56,ACTUAL
31-08-2021 07:50,60.2295,8554.44,7218.52091,1247.55909,-87.27,ACTUAL
31-08-2021 07:55,55,8468.07,7177.90469,1313.39531,25.1,ACTUAL
31-08-2021 08:00,32.97748,8507.7,7054.02015,1422.84985,-28.56,ACTUAL
31-08-2021 08:05,61,8439.02,7027.88085,1454.85915,48.21,ACTUAL
31-08-2021 08:10,57.21247,8336.22,6900.81612,1465.39388,31.69,ACTUAL
31-08-2021 08:15,58.26239,8314.58,6825.15598,1468.04402,-20.23,ACTUAL
31-08-2021 08:20,48.75191,8303.57,6768.55349,1440.03651,-92.28,ACTUAL
31-08-2021 08:25,49.07402,8287.36,6738.75261,1407.90739,-138.65,ACTUAL
31-08-2021 08:30,58.15643,8234.87,6759.01478,1392.35522,-81.39,ACTUAL
31-08-2021 08:35,61,8225.33,6752.78307,1408.62693,-63.44,ACTUAL
31-08-2021 08:40,61,8080.54,6545.87689,1411.11311,-123.14,ACTUAL
31-08-2021 08:45,61,8103.78,6502.76649,1399.46351,-202,ACTUAL
31-08-2021 08:50,55,8026.73,6379.99645,1367.25355,-278.78,ACTUAL
31-08-2021 08:55,43.59035,7972.6,6257.19099,1329.81901,-382.82,ACTUAL
31-08-2021 09:00,32.24201,7916.67,6113.80035,1318.22965,-478.1,ACTUAL
31-08-2021 09:05,61,7884.88,6342.18685,1302.14315,-238.55,ACTUAL
31-08-2021 09:10,79.56839,7853.79,6335.30755,1316.19245,-200.53,ACTUAL
31-08-2021 09:15,109.51,7774.01,6512.9279,1335.6621,76.34,ACTUAL
31-08-2021 09:20,109.51,7577.91,6349.77293,1387.21707,165.88,ACTUAL
31-08-2021 09:25,61,7473.9,6255.74448,1363.38552,147.54,ACTUAL
31-08-2021 09:30,61,7364.25,6119.38105,1326.89895,83.15,ACTUAL
31-08-2021 09:35,0.00005,7334.6,5894.05124,1326.82876,-99.57,ACTUAL
31-08-2021 09:40,0.01753,7031.08,5691.44428,1340.51572,15.97,ACTUAL
31-08-2021 09:45,0.00005,6831.75,5540.34387,1339.03613,61.72,ACTUAL
31-08-2021 09:50,6.50407,6822.69,5447.74551,1345.68449,-18.72,ACTUAL
31-08-2021 09:55,35.11501,7010.06,5424.33341,1342.65659,-235.08,ACTUAL
31-08-2021 10:00,42.35,7031.87,5429.69955,1358.25045,-239.52,ACTUAL
31-08-2021 10:05,39.96418,7039.01,5355.85723,1392.22277,-284.55,ACTUAL
31-08-2021 10:10,34.5049,6962.86,5217.78456,1376.02544,-361.18,ACTUAL
31-08-2021 10:15,40.55345,6966.09,5168.43752,1371.55248,-415.66,ACTUAL
31-08-2021 10:20,31.23569,6837.76,5107.6593,1396.2607,-321.85,ACTUAL
31-08-2021 10:25,42.59,6901.64,4998.30153,1362.95847,-524.99,ACTUAL
31-08-2021 10:30,34.24457,6671.12,4877.4467,1396.0433,-384.27,ACTUAL
31-08-2021 10:35,24.00804,6646.77,4745.06248,1424.92752,-460.75,ACTUAL
31-08-2021 10:40,58.3096,6687.33,4874.19388,1427.07612,-365.96,ACTUAL
31-08-2021 10:45,8.14166,6602.45,4798.47877,1464.35123,-310.38,ACTUAL
31-08-2021 10:50,43.57986,6664.55,4777.66093,1443.85907,-420.81,ACTUAL
31-08-2021 10:55,39.38092,6615.13,4660.15898,1491.28102,-440.49,ACTUAL
31-08-2021 11:00,39.63955,6500.4,4545.89556,1471.73444,-460.92,ACTUAL
31-08-2021 11:05,28.75415,6465.39,4444.93079,1521.60921,-476.62,ACTUAL
31-08-2021 11:10,49.02331,6398.8,4638.22655,1428.28345,-317.92,ACTUAL
31-08-2021 11:15,36.63911,6413.58,4520.8039,1474.2261,-391.68,ACTUAL
31-08-2021 11:20,33.31037,6280.8,4421.36836,1474.11164,-360.72,ACTUAL
31-08-2021 11:25,40.49114,6266.73,4421.01622,1522.92378,-313.62,ACTUAL
31-08-2021 11:30,40.63091,6246.92,4399.09162,1531.11838,-309.41,ACTUAL
31-08-2021 11:35,36.69015,6279.3,4409.42357,1429.22643,-429.08,ACTUAL
31-08-2021 11:40,16.02504,6231.58,4341.58978,1432.98022,-444.32,ACTUAL
31-08-2021 11:45,2.60782,6195.35,4382.09262,1549.57738,-258.96,ACTUAL
31-08-2021 11:50,0.00015,6280.9,4318.37886,1560.59114,-388.18,ACTUAL
31-08-2021 11:55,0.0001,6243.47,4288.38693,1563.05307,-381.89,ACTUAL
31-08-2021 12:00,56.96198,6244.82,4472.69428,1509.56572,-257.76,ACTUAL
31-08-2021 12:05,15.97354,6222.74,4360.87359,1499.27641,-352.31,ACTUAL
31-08-2021 12:10,0.0001,6164.78,4299.34981,1569.08019,-285.18,ACTUAL
31-08-2021 12:15,23.47207,6124.73,4308.99521,1503.18479,-302.26,ACTUAL
31-08-2021 12:20,19.1954,6206.57,4310.76836,1624.19164,-264.11,ACTUAL
31-08-2021 12:25,-10.8563,6150.83,4268.6643,1640.9357,-227.34,ACTUAL
31-08-2021 12:30,-10.86461,6143.98,4217.64621,1652.05379,-263.3,ACTUAL
31-08-2021 12:35,-17.42074,6156.6,4268.07344,1638.39656,-237.26,ACTUAL
31-08-2021 12:40,-11.41842,6228.77,4292.25223,1626.83777,-293.68,ACTUAL
31-08-2021 12:45,-1.3246,6095.35,4284.85402,1639.51598,-158.6,ACTUAL
31-08-2021 12:50,27.54999,6108.4,4360.13091,1633.38909,-111.52,ACTUAL
31-08-2021 12:55,-24.69,6026.1,4298.05929,1621.78071,-87.7,ACTUAL
